geoid,city_name,latitude,longitude,country_code,country_code_3,country_name,country_capital,population,timezone
3430104,Paso de los Libres,-29.71251,-57.08771,AR,ARG,Argentina,Buenos Aires,43805,America/Argentina/Cordoba
3430340,Obera,-27.48706,-55.11994,AR,ARG,Argentina,Buenos Aires,56528,America/Argentina/Cordoba
3430443,Necochea,-38.5545,-58.73961,AR,ARG,Argentina,Buenos Aires,80478,America/Argentina/Buenos_Aires
3430545,Moron,-34.6509,-58.61956,AR,ARG,Argentina,Buenos Aires,319934,America/Argentina/Buenos_Aires
3430598,Monte Caseros,-30.25359,-57.63626,AR,ARG,Argentina,Buenos Aires,24671,America/Argentina/Cordoba
3430601,Montecarlo,-26.5662,-54.757,AR,ARG,Argentina,Buenos Aires,22229,America/Argentina/Cordoba
3430708,Mercedes,-34.65145,-59.43068,AR,ARG,Argentina,Buenos Aires,52949,America/Argentina/Buenos_Aires
3430709,Mercedes,-29.18416,-58.07519,AR,ARG,Argentina,Buenos Aires,30649,America/Argentina/Cordoba
3430863,Mar del Plata,-38.00228,-57.55754,AR,ARG,Argentina,Buenos Aires,553935,America/Argentina/Buenos_Aires
3430988,Lujan,-34.57028,-59.105,AR,ARG,Argentina,Buenos Aires,81749,America/Argentina/Buenos_Aires
3432043,La Plata,-34.92145,-57.95453,AR,ARG,Argentina,Buenos Aires,694167,America/Argentina/Buenos_Aires
3432079,La Paz,-30.74485,-59.64566,AR,ARG,Argentina,Buenos Aires,24716,America/Argentina/Cordoba
3433349,Jardin America,-27.04346,-55.22698,AR,ARG,Argentina,Buenos Aires,24905,America/Argentina/Cordoba
3433658,Gualeguaychu,-33.00937,-58.51722,AR,ARG,Argentina,Buenos Aires,78676,America/Argentina/Cordoba
3433663,Gualeguay,-33.14156,-59.30966,AR,ARG,Argentina,Buenos Aires,33120,America/Argentina/Cordoba
3433715,Goya,-29.14395,-59.2651,AR,ARG,Argentina,Buenos Aires,70245,America/Argentina/Cordoba
3433753,Gobernador Ingeniero Valentin Virasoro,-28.05,-56.03333,AR,ARG,Argentina,Buenos Aires,28756,America/Argentina/Cordoba
3433803,General Jose de San Martin,-26.53743,-59.34158,AR,ARG,Argentina,Buenos Aires,31758,America/Argentina/Cordoba
3433836,Garupa,-27.48171,-55.82921,AR,ARG,Argentina,Buenos Aires,28814,America/Argentina/Cordoba
3433899,Formosa,-26.17753,-58.17814,AR,ARG,Argentina,Buenos Aires,221383,America/Argentina/Cordoba
3433901,Fontana,-27.41813,-59.02392,AR,ARG,Argentina,Buenos Aires,26745,America/Argentina/Cordoba
3433956,Federal,-30.95465,-58.78326,AR,ARG,Argentina,Buenos Aires,16333,America/Argentina/Cordoba
3434095,Esquina,-30.01444,-59.52719,AR,ARG,Argentina,Buenos Aires,26399,America/Argentina/Cordoba
3434291,El Soberbio,-27.29847,-54.19877,AR,ARG,Argentina,Buenos Aires,19571,America/Argentina/Cordoba
3435038,Dolores,-36.31321,-57.67918,AR,ARG,Argentina,Buenos Aires,25190,America/Argentina/Buenos_Aires
3435103,Curuzu Cuatia,-29.79171,-58.0546,AR,ARG,Argentina,Buenos Aires,36390,America/Argentina/Cordoba
3435217,Corrientes,-27.4806,-58.8341,AR,ARG,Argentina,Buenos Aires,339067,America/Argentina/Cordoba
3435261,Concordia,-31.39296,-58.02089,AR,ARG,Argentina,Buenos Aires,145210,America/Argentina/Cordoba
3435264,Concepcion del Uruguay,-32.48249,-58.23722,AR,ARG,Argentina,Buenos Aires,67895,America/Argentina/Cordoba
3435356,Colegiales,-34.57365,-58.44924,AR,ARG,Argentina,Buenos Aires,57000,America/Argentina/Buenos_Aires
3435486,Chajari,-30.75048,-57.97962,AR,ARG,Argentina,Buenos Aires,30655,America/Argentina/Cordoba
3435810,Campana,-34.16874,-58.95914,AR,ARG,Argentina,Buenos Aires,81612,America/Argentina/Buenos_Aires
3435910,Buenos Aires,-34.61315,-58.37723,AR,ARG,Argentina,Buenos Aires,13076300,America/Argentina/Buenos_Aires
3436124,Barranqueras,-27.48132,-58.93925,AR,ARG,Argentina,Buenos Aires,50823,America/Argentina/Cordoba
3436199,Azul,-36.77698,-59.85854,AR,ARG,Argentina,Buenos Aires,53941,America/Argentina/Buenos_Aires
3436230,Avellaneda,-29.11761,-59.65834,AR,ARG,Argentina,Buenos Aires,23077,America/Argentina/Cordoba
3436287,Aristobulo del Valle,-27.09625,-54.89626,AR,ARG,Argentina,Buenos Aires,20683,America/Argentina/Cordoba
3832132,Zapala,-38.89916,-70.05442,AR,ARG,Argentina,Buenos Aires,31534,America/Argentina/Salta
3832260,Yerba Buena,-26.81667,-65.31667,AR,ARG,Argentina,Buenos Aires,50783,America/Argentina/Tucuman
3832647,Villa Regina,-39.1,-67.06667,AR,ARG,Argentina,Buenos Aires,31209,America/Argentina/Salta
3832653,Villa Paula de Sarmiento,-31.4933,-68.53838,AR,ARG,Argentina,Buenos Aires,19092,America/Argentina/San_Juan
3832662,Villa Nueva,-32.43293,-63.24763,AR,ARG,Argentina,Buenos Aires,16841,America/Argentina/Cordoba
3832694,Villa Maria,-32.40751,-63.24016,AR,ARG,Argentina,Buenos Aires,92453,America/Argentina/Cordoba
3832756,Villa Dolores,-31.94585,-65.18958,AR,ARG,Argentina,Buenos Aires,28009,America/Argentina/Cordoba
3832778,Villa Constitucion,-33.22778,-60.3297,AR,ARG,Argentina,Buenos Aires,44271,America/Argentina/Cordoba
3832791,Villa Carlos Paz,-31.42414,-64.49778,AR,ARG,Argentina,Buenos Aires,69451,America/Argentina/Cordoba
3832811,Villa Angela,-27.57383,-60.71526,AR,ARG,Argentina,Buenos Aires,43511,America/Argentina/Cordoba
3832815,Villa Allende,-31.29458,-64.29538,AR,ARG,Argentina,Buenos Aires,21683,America/Argentina/Cordoba
3832899,Viedma,-40.81345,-62.99668,AR,ARG,Argentina,Buenos Aires,48940,America/Argentina/Salta
3832934,Victoria,-32.61841,-60.15478,AR,ARG,Argentina,Buenos Aires,25139,America/Argentina/Cordoba
3833027,Vera,-29.4593,-60.21261,AR,ARG,Argentina,Buenos Aires,19797,America/Argentina/Cordoba
3833062,Venado Tuerto,-33.74556,-61.96885,AR,ARG,Argentina,Buenos Aires,72340,America/Argentina/Cordoba
3833112,Veinticinco de Mayo,-35.4323,-60.17271,AR,ARG,Argentina,Buenos Aires,24668,America/Argentina/Buenos_Aires
3833367,Ushuaia,-54.8,-68.3,AR,ARG,Argentina,Buenos Aires,58028,America/Argentina/Ushuaia
3833412,Unquillo,-31.23073,-64.31615,AR,ARG,Argentina,Buenos Aires,15369,America/Argentina/Cordoba
3833794,Tres Isletas,-26.34067,-60.43207,AR,ARG,Argentina,Buenos Aires,24747,America/Argentina/Cordoba
3833859,Tres Arroyos,-38.37394,-60.27978,AR,ARG,Argentina,Buenos Aires,47136,America/Argentina/Buenos_Aires
3833883,Trelew,-43.24895,-65.30505,AR,ARG,Argentina,Buenos Aires,93442,America/Argentina/Catamarca
3834502,Termas de Rio Hondo,-27.49362,-64.85972,AR,ARG,Argentina,Buenos Aires,27838,America/Argentina/Cordoba
3834601,Tartagal,-22.51637,-63.80131,AR,ARG,Argentina,Buenos Aires,60819,America/Argentina/Salta
3834813,Tafi Viejo,-26.73201,-65.25921,AR,ARG,Argentina,Buenos Aires,48459,America/Argentina/Tucuman
3834971,Sunchales,-30.94404,-61.56148,AR,ARG,Argentina,Buenos Aires,18757,America/Argentina/Cordoba
3835793,Santo Tome,-31.66274,-60.7653,AR,ARG,Argentina,Buenos Aires,59072,America/Argentina/Cordoba
3835869,Santiago del Estero,-27.79511,-64.26149,AR,ARG,Argentina,Buenos Aires,354692,America/Argentina/Cordoba
3835994,Santa Rosa,-36.61667,-64.28333,AR,ARG,Argentina,Buenos Aires,111424,America/Argentina/Salta
3836194,Santa Lucia,-31.53987,-68.49503,AR,ARG,Argentina,Buenos Aires,43565,America/Argentina/San_Juan
3836277,Santa Fe de la Vera Cruz,-31.63333,-60.7,AR,ARG,Argentina,Buenos Aires,489505,America/Argentina/Cordoba
3836564,San Salvador de Jujuy,-24.19457,-65.29712,AR,ARG,Argentina,Buenos Aires,305891,America/Argentina/Jujuy
3836620,San Ramon de la Nueva Oran,-23.13705,-64.32426,AR,ARG,Argentina,Buenos Aires,74059,America/Argentina/Salta
3836669,San Rafael,-34.61772,-68.33007,AR,ARG,Argentina,Buenos Aires,109163,America/Argentina/Mendoza
3836772,San Pedro,-24.23127,-64.86614,AR,ARG,Argentina,Buenos Aires,58430,America/Argentina/Jujuy
3836846,San Nicolas de los Arroyos,-33.33578,-60.22523,AR,ARG,Argentina,Buenos Aires,127742,America/Argentina/Buenos_Aires
3836873,San Miguel de Tucuman,-26.82414,-65.2226,AR,ARG,Argentina,Buenos Aires,781023,America/Argentina/Tucuman
3836951,San Martin de los Andes,-40.15789,-71.35337,AR,ARG,Argentina,Buenos Aires,23519,America/Argentina/Salta
3836992,San Martin,-33.08103,-68.46814,AR,ARG,Argentina,Buenos Aires,82549,America/Argentina/Mendoza
3837056,San Luis,-33.29501,-66.33563,AR,ARG,Argentina,Buenos Aires,183982,America/Argentina/San_Luis
3837124,San Justo,-30.78913,-60.59189,AR,ARG,Argentina,Buenos Aires,21809,America/Argentina/Cordoba
3837213,San Juan,-31.5375,-68.53639,AR,ARG,Argentina,Buenos Aires,447048,America/Argentina/San_Juan
3837240,San Jose de Jachal,-30.24057,-68.74693,AR,ARG,Argentina,Buenos Aires,21018,America/Argentina/San_Juan
3837441,San Jorge,-31.89618,-61.85984,AR,ARG,Argentina,Buenos Aires,16873,America/Argentina/Cordoba
3837675,San Francisco,-31.42797,-62.08266,AR,ARG,Argentina,Buenos Aires,59062,America/Argentina/Cordoba
3837702,San Fernando del Valle de Catamarca,-28.46957,-65.78524,AR,ARG,Argentina,Buenos Aires,188812,America/Argentina/Catamarca
3837980,San Antonio Oeste,-40.73193,-64.94769,AR,ARG,Argentina,Buenos Aires,16966,America/Argentina/Salta
3838233,Salta,-24.7859,-65.41166,AR,ARG,Argentina,Buenos Aires,512686,America/Argentina/Salta
3838506,Rufino,-34.26827,-62.71262,AR,ARG,Argentina,Buenos Aires,18361,America/Argentina/Cordoba
3838583,Rosario,-32.94682,-60.63932,AR,ARG,Argentina,Buenos Aires,1173533,America/Argentina/Cordoba
3838793,Rio Tercero,-32.17301,-64.11405,AR,ARG,Argentina,Buenos Aires,53389,America/Argentina/Cordoba
3838797,Rio Segundo,-31.6526,-63.9099,AR,ARG,Argentina,Buenos Aires,18155,America/Argentina/Cordoba
3838859,Rio Gallegos,-51.62261,-69.21813,AR,ARG,Argentina,Buenos Aires,85700,America/Argentina/Rio_Gallegos
3838874,Rio Cuarto,-33.13067,-64.34992,AR,ARG,Argentina,Buenos Aires,153757,America/Argentina/Cordoba
3838902,Rio Ceballos,-31.16486,-64.32241,AR,ARG,Argentina,Buenos Aires,16632,America/Argentina/Cordoba
3839307,Rawson,-43.30016,-65.10228,AR,ARG,Argentina,Buenos Aires,26335,America/Argentina/Catamarca
3839479,Rafaela,-31.25033,-61.4867,AR,ARG,Argentina,Buenos Aires,88713,America/Argentina/Cordoba
3839490,Quitilipi,-26.86913,-60.21683,AR,ARG,Argentina,Buenos Aires,32083,America/Argentina/Cordoba
